prim2_common,prim1_common,strat_id,psu_id,ADD_HRS,AREA,AREA_X,BOAT_HRS,CATCH,CNTRBTRS,CNTY,CNTY_RES,COASTAL,FFDAYS2,FFDAYS12,FIRST,HRSF,ID_CODE,INTSITE,MODE_F,MODE_FX,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,ON_LIST,PARTY,REG_RES,ST,ST_RES,SUB_REG,TELEFON,WAVE,YEAR,ASG_CODE,month,kod,MODE_ASG,new_list,PRT_CODE,CELLTYPE,fshinsp_a,num_fish_a,fl_reg,ADD_PH,AREA_NC,COUNTY,DATE1,DIST,F_BY_P,GEAR,MODE2001,MUNI_RES,MUNI_TRP,PRIM1,PRIM2,PVT_RES,RIG,SEP_FISH,TIME,ZIP,DATE,TURTLE,TOURN,AGE,wp_int,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,date_published
,,19921.16128301wd,1062919920129117,0,1,1,,2,1,11,11,Y,24,150,8,5,1062919920129004,7,1,3,2,0,0,0,,1,6,12,12,6,1,1,1992,1062919920129,01,wd,,,1062919920129004,2,,,8,,,,,,,,,,,,,,,,,33063,,,,,16956.694615,19921.16128301wd,,0,1062919920129004,05/04/2021
,,19921.16128301wd,1062919920129117,0,1,1,,2,1,11,21,O,12,64,8,4,1062919920129005,7,1,3,2,0,0,0,,1,4,12,25,6,1,1,1992,1062919920129,01,wd,,,1062919920129005,2,,,8,,,,,,,,,,,,,,,,,02169,,,,,12475.353231,19921.16128301wd,,0,1062919920129005,05/04/2021
,,19921.16128301wd,1062919920129117,0,1,1,,2,1,11,998,O,2,12,8,3,1062919920129006,7,1,3,1,0,0,0,,1,0,12,99,6,1,1,1992,1062919920129,01,wd,,,1062919920129006,2,,,8,,,,,,,,,,,,,,,,,99997,,,,,12475.353231,19921.16128301wd,,0,1062919920129006,05/04/2021
,,19921.16128301wd,1062919920129117,,1,1,,2,1,11,998,O,4,4,8,6,1062919920129007,7,1,3,0,0,0,0,,1,0,12,99,6,1,1,1992,1062919920129,01,wd,,,1062919920129007,,,,8,,,,,,,,,,,,,,,,,99997,,,,,12475.353231,19921.16128301wd,,0,1062919920129007,05/04/2021
,,19921.16128301wd,1062919920129117,,1,1,,2,1,11,11,Y,24,150,8,6,1062919920129008,7,1,3,0,0,0,0,,1,6,12,12,6,1,1,1992,1062919920129,01,wd,,,1062919920129008,,,,8,,,,,,,,,,,,,,,,,33441,,,,,16956.694615,19921.16128301wd,,0,1062919920129008,05/04/2021
,,19921.16128301wd,106291992012911109,,1,1,,2,1,11,121,O,4,10,8,2,1062919920129009,109,1,3,0,0,0,0,,1,6,12,13,6,1,1,1992,1062919920129,01,wd,,,1062919920129009,,,,8,,,,,,,,,,,,,,,,,30305,,,,,12475.353231,19921.16128301wd,,0,1062919920129009,05/04/2021
,,19921.16128301wd,106291992012911109,,1,1,,2,1,11,11,Y,1,3,8,3,1062919920129010,109,1,3,0,0,0,0,,1,6,12,12,6,1,1,1992,1062919920129,01,wd,,,1062919920129010,,,,8,,,,,,,,,,,,,,,,,33308,,,,,16956.694615,19921.16128301wd,,0,1062919920129010,05/04/2021
,,19921.16128301wd,106291992012911109,0,1,1,,2,1,11,11,Y,8,48,1,3.5,1062919920129011,109,1,3,2,0,0,0,,3,6,12,12,6,1,1,1992,1062919920129,01,wd,,,1062919920129011,2,,,8,,,,,,,,,,,,,,,,,33321,,,,,16956.694615,19921.16128301wd,,0,1062919920129011,05/04/2021
,,19921.16128301wd,106291992012911109,0,1,1,,2,1,11,11,Y,8,48,2,3.5,1062919920129012,109,1,3,1,0,0,1,,3,6,12,12,6,1,1,1992,1062919920129,01,wd,,,1062919920129012,2,,,8,,,,,,,,,,,,,,,,,33321,,,,,16956.694615,19921.16128301wd,,0,1062919920129012,05/04/2021
,,19921.16128301wd,106291992012911109,0,1,1,,2,1,11,11,Y,8,48,2,3.5,1062919920129013,109,1,3,1,0,0,1,,3,6,12,12,6,1,1,1992,1062919920129,01,wd,,,1062919920129013,2,,,8,,,,,,,,,,,,,,,,,33321,,,,,16956.694615,19921.16128301wd,,0,1062919920129013,05/04/2021
,,19921.16128301wd,106291992012911109,,1,1,,2,1,11,11,Y,1,3,1,3.5,1062919920129014,109,1,3,0,0,0,0,,3,6,12,12,6,1,1,1992,1062919920129,01,wd,,,1062919920129014,,,,8,,,,,,,,,,,,,,,,,33321,,,,,16956.694615,19921.16128301wd,,0,1062919920129014,05/04/2021
,,19921.16128301wd,106291992012911109,,1,1,,2,1,11,11,Y,1,3,2,3.5,1062919920129015,109,1,3,0,0,0,1,,3,6,12,12,6,1,1,1992,1062919920129,01,wd,,,1062919920129015,,,,8,,,,,,,,,,,,,,,,,33321,,,,,16956.694615,19921.16128301wd,,0,1062919920129015,05/04/2021
,,19921.16128301wd,106291992012911109,,1,1,,2,1,11,99,Y,1,3,2,3.5,1062919920129016,109,1,3,0,0,0,1,,3,6,12,12,6,1,1,1992,1062919920129,01,wd,,,1062919920129016,,,,8,,,,,,,,,,,,,,,,,33433,,,,,16956.694615,19921.16128301wd,,0,1062919920129016,05/04/2021
,,19921.16128301wd,106291992012911109,,1,1,,2,1,11,11,Y,0,0,8,2.5,1062919920129017,109,1,3,0,0,0,0,,1,6,12,12,6,1,1,1992,1062919920129,01,wd,,,1062919920129017,,,,8,,,,,,,,,,,,,,,,,33322,,,,,16956.694615,19921.16128301wd,,0,1062919920129017,05/04/2021
,,19921.16128301wd,106291992012911109,0,1,1,,2,1,11,85,O,0,0,8,6,1062919920129018,109,1,3,1,0,0,0,,1,5,12,36,6,1,1,1992,1062919920129,01,wd,,,1062919920129018,2,,,8,,,,,,,,,,,,,,,,,10309,,,,,12475.353231,19921.16128301wd,,0,1062919920129018,05/04/2021
,,19921.16128301wd,106291992012911109,0,1,1,,2,1,11,119,O,4,12,8,4,1062919920129019,109,1,3,2,0,0,0,,1,5,12,36,6,1,1,1992,1062919920129,01,wd,,,1062919920129019,2,,,8,,,,,,,,,,,,,,,,,10803,,,,,12475.353231,19921.16128301wd,,0,1062919920129019,05/04/2021
